date,host,stadium,match_type,team_1,team_2,team_1_score,team_2_score,winner,margin,margin_type,winning_condition,series,season,season_winner
29-Feb-92,Australia/New Zealand,Brisbane,11th Match,West Indies,Zimbabwe,264 for 8,189 for 7,West Indies,75,runs,,Benson & Hedges World Cup,1991/92,Pakistan
01-Mar-92,Australia/New Zealand,Brisbane,12th Match,Australia,India,237 for 9,234,Australia,1,run,revised target,Benson & Hedges World Cup,1991/92,Pakistan
01-Mar-92,Australia/New Zealand,Adelaide,13th Match,Pakistan,England,74,24 for 1,No result,No result,No result,,Benson & Hedges World Cup,1991/92,Pakistan
02-Mar-92,Australia/New Zealand,Wellington,14th Match,South Africa,Sri Lanka,195,198 for 7,Sri Lanka,3,wickets,with 1 ball remaining,Benson & Hedges World Cup,1991/92,Pakistan
03-Mar-92,Australia/New Zealand,Napier,15th Match,New Zealand,Zimbabwe,162 for 3,105 for 7,New Zealand,48,runs,revised target,Benson & Hedges World Cup,1991/92,Pakistan
11-Jun-75,England,Leeds,6th Match,East Africa,India,120,123 for 0,India,10,wickets,with 181 balls remaining,Prudential World Cup,1975,West Indies
11-Jun-75,England,The Oval,7th Match,Australia,Sri Lanka,328 for 5,276 for 4,Australia,52,runs,,Prudential World Cup,1975,West Indies
11-Jun-75,England,Birmingham,8th Match,Pakistan,West Indies,266 for 7,267 for 9,West Indies,1,wicket,with 2 balls remaining,Prudential World Cup,1975,West Indies
14-Jun-75,England,Nottingham,12th Match,Pakistan,Sri Lanka,330 for 6,138,Pakistan,192,runs,,Prudential World Cup,1975,West Indies
14-Jun-75,England,Birmingham,9th Match,England,East Africa,290 for 5,94,England,196,runs,,Prudential World Cup,1975,West Indies
14-Jun-75,England,Manchester,10th Match,India,New Zealand,230,233 for 6,New Zealand,4,wickets,with 7 balls remaining,Prudential World Cup,1975,West Indies
14-Jun-75,England,The Oval,11th Match,Australia,West Indies,192,195 for 3,West Indies,7,wickets,with 84 balls remaining,Prudential World Cup,1975,West Indies
18-Jun-75,England,Leeds,1st SF,England,Australia,93,94 for 6,Australia,4,wickets,with 188 balls remaining,Prudential World Cup,1975,West Indies
18-Jun-75,England,The Oval,2nd SF,New Zealand,West Indies,158,159 for 5,West Indies,5,wickets,with 119 balls remaining,Prudential World Cup,1975,West Indies
21-Jun-75,England,Lord's,Final,West Indies,Australia,291 for 8,274,West Indies,17,runs,,Prudential World Cup,1975,West Indies
03-Mar-96,India/Pakistan/Sri Lanka,Karachi,25th Match,England,Pakistan,249 for 9,250 for 3,Pakistan,7,wickets,with 14 balls remaining,Wills World Cup,1995/96,Sri Lanka
04-Mar-96,India/Pakistan/Sri Lanka,Jaipur,26th Match,Australia,West Indies,229 for 6,232 for 6,West Indies,4,wickets,with 7 balls remaining,Wills World Cup,1995/96,Sri Lanka
05-Mar-96,India/Pakistan/Sri Lanka,Rawalpindi,27th Match,South Africa,Netherlands,328 for 3,168 for 8,South Africa,160,runs,,Wills World Cup,1995/96,Sri Lanka
06-Mar-96,India/Pakistan/Sri Lanka,Kanpur,29th Match,India,Zimbabwe,247 for 5,207,India,40,runs,,Wills World Cup,1995/96,Sri Lanka
06-Mar-96,India/Pakistan/Sri Lanka,Kandy,28th Match,Sri Lanka,Kenya,398 for 5,254 for 7,Sri Lanka,144,runs,,Wills World Cup,1995/96,Sri Lanka
06-Mar-96,India/Pakistan/Sri Lanka,Lahore,30th Match,Pakistan,New Zealand,281 for 5,235,Pakistan,46,runs,,Wills World Cup,1995/96,Sri Lanka
09-Mar-96,India/Pakistan/Sri Lanka,Faisalabad,1st QF,England,Sri Lanka,235 for 8,236 for 5,Sri Lanka,5,wickets,with 56 balls remaining,Wills World Cup,1995/96,Sri Lanka
09-Mar-96,India/Pakistan/Sri Lanka,Bengaluru,2nd QF (D/N),India,Pakistan,287 for 8,248 for 9,India,39,runs,,Wills World Cup,1995/96,Sri Lanka
11-Mar-96,India/Pakistan/Sri Lanka,Karachi,3rd QF,West Indies,South Africa,264 for 8,245,West Indies,19,runs,,Wills World Cup,1995/96,Sri Lanka
11-Mar-96,India/Pakistan/Sri Lanka,Chennai,4th QF (D/N),New Zealand,Australia,286 for 9,289 for 4,Australia,6,wickets,with 13 balls remaining,Wills World Cup,1995/96,Sri Lanka
13-Mar-96,India/Pakistan/Sri Lanka,Eden Gardens,1st SF (D/N),Sri Lanka,India,251 for 8,120 for 8,Sri Lanka,default,default,,Wills World Cup,1995/96,Sri Lanka
14-Mar-96,India/Pakistan/Sri Lanka,Mohali,2nd SF (D/N),Australia,West Indies,207 for 8,202,Australia,5,runs,,Wills World Cup,1995/96,Sri Lanka
17-Mar-96,India/Pakistan/Sri Lanka,Lahore,Final (D/N),Australia,Sri Lanka,241 for 7,245 for 3,Sri Lanka,7,wickets,with 22 balls remaining,Wills World Cup,1995/96,Sri Lanka
04-Mar-92,Australia/New Zealand,Sydney,16th Match (D/N),India,Pakistan,216 for 7,173,India,43,runs,,Benson & Hedges World Cup,1991/92,Pakistan
05-Mar-92,Australia/New Zealand,Christchurch,17th Match,South Africa,West Indies,200 for 8,136,South Africa,64,runs,,Benson & Hedges World Cup,1991/92,Pakistan
05-Mar-92,Australia/New Zealand,Sydney,18th Match (D/N),Australia,England,171,173 for 2,England,8,wickets,with 55 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
07-Mar-92,Australia/New Zealand,Hamilton,19th Match,India,Zimbabwe,203 for 7,104 for 1,India,55,runs,revised target,Benson & Hedges World Cup,1991/92,Pakistan
07-Mar-92,Australia/New Zealand,Adelaide,20th Match,Sri Lanka,Australia,189 for 9,190 for 3,Australia,7,wickets,with 36 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
